fileName,deviceName,startDateTime,modifiedOn,message,status,Root_cause_of_failure,Action_taken_to_solve,Exception_Type
calculate_time,DESKTOP-J077TEN,2021-10-13T11:26:56.506360600Z,2021-10-13T11:26:58.524424900Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    400 Bad Request. Could not process the request for URI https://atosrpatraining.uksouth.cloudapp.azure.com/v1/authentication due to improper input supplied or other error\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
calculate_time,DESKTOP-J077TEN,2021-10-13T11:26:14.322526400Z,2021-10-13T11:26:15.974963800Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    400 Bad Request. Could not process the request for URI https://atosrpatraining.uksouth.cloudapp.azure.com/v1/authentication due to improper input supplied or other error\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
calculate_time,DESKTOP-J077TEN,2021-10-13T11:25:37.101100600Z,2021-10-13T11:25:39.430657200Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    401 Unauthorized. Authentication failed for URI https://atosrpatraining.uksouth.cloudapp.azure.com/v2/activity/list\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Technical Error,Checked the code and did necessary changes and reran the bot ,Application exception
AuditAPI,DESKTOP-MOK7P83,2021-11-03T08:08:36.586988800Z,2021-11-03T08:08:37.572988700Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
Test,DESKTOP-MOK7P83,2021-10-25T10:31:48.300967600Z,2021-10-25T10:31:50.579360200Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
date-time,DESKTOP-56OTK9I,2021-10-11T10:28:17.924379700Z,2021-10-11T10:28:18.883012300Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
1522,DESKTOP-56OTK9I,2021-10-05T09:16:01.438203800Z,2021-10-05T09:16:03.601862300Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
supply chain management,DESKTOP-56OTK9I,2021-10-04T05:33:08.809723Z,2021-10-04T05:33:09.668316Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
supply chain management,DESKTOP-56OTK9I,2021-10-01T05:17:10.146752600Z,2021-10-01T05:17:12.379788900Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
employee data migration,DESKTOP-56OTK9I,2021-09-29T12:18:27.937768500Z,2021-09-29T12:18:29.020234300Z,"{message:There was a problem at line 1\n,details:This may be due to the following reason:\n\n    A user cancelled running the bot. You can run it again.\n\n,correctiveAction:To continue, edit the bot and fix the error. Then, try again.\n\n\nIf you continue to see this message, please contact your system administrator.,code:bot.execution.error}",RUN_FAILED,Bot Aborted by user,Send Email notification to concerned team/admin mentioning the error message,System exception
